FIPS,Geographic Identifier,Name of Area,Qualifying Name,State/U.S.-Abbreviation (USPS),Summary Level,Geographic Component,File Identification,Logical Record Number,US,Region,Division,State (Census Code),State (FIPS),County,County Subdivision (FIPS),Place (FIPS Code),Place (State FIPS + Place FIPS),Census Tract,Block Group,Consolidated City,American Indian Area/Alaska Native Area/Hawaiian Home Land (Census),American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS),American Indian Trust Land/Hawaiian Home Land Indicator,American Indian Tribal Subdivision (Census),American Indian Tribal Subdivision (FIPS),Alaska Native Regional Corporation (FIPS),Metropolitan and Micropolitan Statistical Area,Combined Statistical Area,Metropolitan Division,Metropolitan Area Central City,Metropolitan/Micropolitan Indicator Flag,New England City and Town Combined Statistical Area,New England City and Town Area,New England City and Town Area Division,Urban Area,Urban Area Central Place,Current Congressional District ***,State Legislative District Upper,State Legislative District Lower,Voting District,ZIP Code Tabulation Area (3-digit),ZIP Code Tabulation Area (5-digit),Subbarrio (FIPS),School District (Elementary),School District (Secondary),School District (Unified),Urban/Rural,Principal City Indicator,Traffic Analysis Zone,Urban Growth Area,Tribal Tract,Tribal Block Group,Public Use Microdata Area - 5% File,Public Use Microdata Area - 1% File,Total Population,Total Population,Population Density (per sq. mile),Area (Land),Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More races,Total Population,Total Population: Not Hispanic or Latino,Total Population: Not Hispanic or Latino: White Alone,Total Population: Not Hispanic or Latino: Black or African American Alone,Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Not Hispanic or Latino: Asian Alone,Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Not Hispanic or Latino: Some Other Race Alone,Total Population: Not Hispanic or Latino: Two or More races,Total Population: Hispanic or Latino,Total Population: Hispanic or Latino: White Alone,Total Population: Hispanic or Latino: Black or African American Alone,Total Population: Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Hispanic or Latino: Asian Alone,Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Hispanic or Latino: Some Other Race Alone,Total Population: Hispanic or Latino: Two or More races,Total Population,Total Population: Not Hispanic or Latino,Total Population: Hispanic or Latino,Total Population: Hispanic or Latino: Mexican,Total Population: Hispanic or Latino: Puerto Rican,Total Population: Hispanic or Latino: Cuban,Total Population: Hispanic or Latino: Dominican Republic,Total Population: Hispanic or Latino: Central American,Total Population: Hispanic or Latino: Central American: Costa Rican,Total Population: Hispanic or Latino: Central American: Guatemalan,Total Population: Hispanic or Latino: Central American: Honduran,Total Population: Hispanic or Latino: Central American: Nicaraguan,Total Population: Hispanic or Latino: Central American: Panamanian,Total Population: Hispanic or Latino: Central American: Salvadoran,Total Population: Hispanic or Latino: Central American: Other Central American,Total Population: Hispanic or Latino: South American,Total Population: Hispanic or Latino: South American: Argentinean,Total Population: Hispanic or Latino: South American: Bolivian,Total Population: Hispanic or Latino: South American: Chilean,Total Population: Hispanic or Latino: South American: Colombian,Total Population: Hispanic or Latino: South American: Ecuadorian,Total Population: Hispanic or Latino: South American: Paraguayan,Total Population: Hispanic or Latino: South American: Peruvian,Total Population: Hispanic or Latino: South American: Uruguayan,Total Population: Hispanic or Latino: South American: Venezuelan,Total Population: Hispanic or Latino: South American: Other South American,Total Population: Hispanic or Latino: Other Hispanic or Latino,Total Population: Hispanic or Latino: Other Hispanic or Latino: Spaniard,Total Population: Hispanic or Latino: Other Hispanic or Latino: Spanish,Total Population: Hispanic or Latino: Other Hispanic or Latino: Spanish American,Total Population: Hispanic or Latino: Other Hispanic or Latino: All Other Hispanic or Latino,Total:,Total: Asian Indian,Total: Bangladeshi,Total: Cambodian,"Total: Chinese, except Taiwanese",Total: Filipino,Total: Hmong,Total: Indonesian,Total: Japanese,Total: Korean,Total: Laotian,Total: Malaysian,Total: Pakistani,Total: Sri Lankan,Total: Taiwanese,Total: Thai,Total: Vietnamese,Total: Other Asian,"Total: Other Asian, not specified"
25003920101,14000US25003920101,"Census Tract 9201.01, Berkshire County, Massachusetts","Census Tract 9201.01, Berkshire County, Massachusetts",ma,140,0,ACSSF,982,,,,,25,3,,,,920101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4340,4340,315.3932,13.76060275,4340,3859,133,10,167,0,33,138,4340,4176,3732,133,10,167,0,0,134,164,127,0,0,0,0,33,4,4340,4176,164,39,72,13,19,3,0,0,0,0,0,3,0,5,0,0,0,3,0,0,2,0,0,0,13,0,0,0,13,167,6,0,0,81,0,0,0,19,21,0,0,0,0,0,12,19,9,0
25003920102,14000US25003920102,"Census Tract 9201.02, Berkshire County, Massachusetts","Census Tract 9201.02, Berkshire County, Massachusetts",ma,140,0,ACSSF,983,,,,,25,3,,,,920102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3284,3284,99.51733,32.99927876,3284,2795,57,77,170,0,76,109,3284,3123,2708,36,77,170,0,23,109,161,87,21,0,0,0,53,0,3284,3123,161,39,78,7,22,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,6,4,0,0,2,170,6,0,0,63,15,0,0,0,18,0,0,0,0,0,0,57,11,0
25003921300,14000US25003921300,"Census Tract 9213, Berkshire County, Massachusetts","Census Tract 9213, Berkshire County, Massachusetts",ma,140,0,ACSSF,984,,,,,25,3,,,,921300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4967,4967,1072.826,4.629827242,4967,4478,247,30,14,0,11,187,4967,4836,4371,247,30,14,0,0,174,131,107,0,0,0,0,11,13,4967,4836,131,0,40,0,18,43,0,0,43,0,0,0,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
25003921400,14000US25003921400,"Census Tract 9214, Berkshire County, Massachusetts","Census Tract 9214, Berkshire County, Massachusetts",ma,140,0,ACSSF,985,,,,,25,3,,,,921400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1830,1830,263.7711,6.937834461,1830,1754,0,35,7,0,25,9,1830,1788,1746,0,35,7,0,0,0,42,8,0,0,0,0,25,9,1830,1788,42,0,18,0,0,22,0,0,17,0,0,5,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
25003921500,14000US25003921500,"Census Tract 9215, Berkshire County, Massachusetts","Census Tract 9215, Berkshire County, Massachusetts",ma,140,0,ACSSF,986,,,,,25,3,,,,921500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3083,3083,440.661,6.996308091,3083,3023,9,0,0,0,0,51,3083,2951,2891,9,0,0,0,0,51,132,132,0,0,0,0,0,0,3083,2951,132,8,50,0,0,74,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25003922100,14000US25003922100,"Census Tract 9221, Berkshire County, Massachusetts","Census Tract 9221, Berkshire County, Massachusetts",ma,140,0,ACSSF,987,,,,,25,3,,,,922100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2564,2564,3328.381,0.770344496,2564,2433,15,24,0,0,17,75,2564,2522,2426,15,9,0,0,17,55,42,7,0,15,0,0,0,20,2564,2522,42,0,36,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25003922200,14000US25003922200,"Census Tract 9222, Berkshire County, Massachusetts","Census Tract 9222, Berkshire County, Massachusetts",ma,140,0,ACSSF,988,,,,,25,3,,,,922200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3857,3857,300.9196,12.81737522,3857,3748,26,0,0,0,22,61,3857,3851,3742,26,0,0,0,22,61,6,6,0,0,0,0,0,0,3857,3851,6,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25003922300,14000US25003922300,"Census Tract 9223, Berkshire County, Massachusetts","Census Tract 9223, Berkshire County, Massachusetts",ma,140,0,ACSSF,989,,,,,25,3,,,,922300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961,1961,210.8443,9.300704096,1961,1919,17,0,0,0,2,23,1961,1929,1908,13,0,0,0,0,8,32,11,4,0,0,0,2,15,1961,1929,32,0,0,6,24,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25003931100,14000US25003931100,"Census Tract 9311, Berkshire County, Massachusetts","Census Tract 9311, Berkshire County, Massachusetts",ma,140,0,ACSSF,994,,,,,25,3,,,,931100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1580,1580,124.5126,12.68947501,1580,1562,5,0,4,0,0,9,1580,1580,1562,5,0,4,0,0,9,0,0,0,0,0,0,0,0,1580,1580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25003931300,14000US25003931300,"Census Tract 9313, Berkshire County, Massachusetts","Census Tract 9313, Berkshire County, Massachusetts",ma,140,0,ACSSF,995,,,,,25,3,,,,931300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1491,1491,24.76498,60.20598088,1491,1403,33,0,3,0,0,52,1491,1466,1378,33,0,3,0,0,52,25,25,0,0,0,0,0,0,1491,1466,25,2,16,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
